State,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
NY,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.608,,1/1/2015,6/30/2015
OH,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.523,,1/1/2015,6/30/2015
OK,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.525,,1/1/2015,6/30/2015
OR,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.447,,1/1/2015,6/30/2015
PA,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.55,,1/1/2015,6/30/2015
PR,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.355,,1/1/2015,6/30/2015
RI,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.591,,1/1/2015,6/30/2015
SC,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.626,,1/1/2015,6/30/2015
SD,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.347,,1/1/2015,6/30/2015
TN,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.46,,1/1/2015,6/30/2015
TX,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.548,,1/1/2015,6/30/2015
UT,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.342,,1/1/2015,6/30/2015
VA,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.547,,1/1/2015,6/30/2015
VI,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,1.582,,1/1/2015,6/30/2015
VT,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.44,,1/1/2015,6/30/2015
WA,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.506,,1/1/2015,6/30/2015
WI,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.386,,1/1/2015,6/30/2015
WV,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.423,,1/1/2015,6/30/2015
WY,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,0.189,,1/1/2015,6/30/2015
AK,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.953,,1/1/2015,6/30/2015
AL,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.904,,1/1/2015,6/30/2015
AR,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.776,,1/1/2015,6/30/2015
AS,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
AZ,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.611,,1/1/2015,6/30/2015
CA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.56,,1/1/2015,6/30/2015
CO,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.623,,1/1/2015,6/30/2015
CT,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.85,,1/1/2015,6/30/2015
DC,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.929,,1/1/2015,6/30/2015
DE,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.596,,1/1/2015,6/30/2015
FL,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.638,,1/1/2015,6/30/2015
GA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.692,,1/1/2015,6/30/2015
GU,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
HI,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.296,,1/1/2015,6/30/2015
IA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.662,,1/1/2015,6/30/2015
ID,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.49,,1/1/2015,6/30/2015
IL,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.54,,1/1/2015,6/30/2015
IN,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.664,,1/1/2015,6/30/2015
KS,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.58,,1/1/2015,6/30/2015
KY,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.762,,1/1/2015,6/30/2015
LA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.903,,1/1/2015,6/30/2015
MA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.485,,1/1/2015,6/30/2015
MD,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.67,,1/1/2015,6/30/2015
ME,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.769,,1/1/2015,6/30/2015
MI,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.57,,1/1/2015,6/30/2015
MN,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.565,,1/1/2015,6/30/2015
MO,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.622,,1/1/2015,6/30/2015
MP,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
MS,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.825,,1/1/2015,6/30/2015
MT,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.691,,1/1/2015,6/30/2015
NC,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.636,,1/1/2015,6/30/2015
ND,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.797,,1/1/2015,6/30/2015
NE,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.833,,1/1/2015,6/30/2015
NH,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,1.013,,1/1/2015,6/30/2015
NJ,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.696,,1/1/2015,6/30/2015
NM,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.834,,1/1/2015,6/30/2015
NV,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.613,,1/1/2015,6/30/2015
NY,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.654,,1/1/2015,6/30/2015
OH,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.582,,1/1/2015,6/30/2015
OK,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.614,,1/1/2015,6/30/2015
OR,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.568,,1/1/2015,6/30/2015
PA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.6,,1/1/2015,6/30/2015
PR,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.55,,1/1/2015,6/30/2015
RI,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.825,,1/1/2015,6/30/2015
SC,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.725,,1/1/2015,6/30/2015
SD,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.568,,1/1/2015,6/30/2015
TN,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.521,,1/1/2015,6/30/2015
TX,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.588,,1/1/2015,6/30/2015
UT,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.472,,1/1/2015,6/30/2015
VA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.624,,1/1/2015,6/30/2015
VI,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,4.306,,1/1/2015,6/30/2015
VT,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.785,,1/1/2015,6/30/2015
WA,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.591,,1/1/2015,6/30/2015
WI,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.466,,1/1/2015,6/30/2015
WV,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.536,,1/1/2015,6/30/2015
WY,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,0.624,,1/1/2015,6/30/2015
AK,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.304,,1/1/2015,6/30/2015
AL,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.709,,1/1/2015,6/30/2015
AR,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.551,,1/1/2015,6/30/2015
AS,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
AZ,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.452,,1/1/2015,6/30/2015
CA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.492,,1/1/2015,6/30/2015
CO,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.42,,1/1/2015,6/30/2015
CT,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.608,,1/1/2015,6/30/2015
DC,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.599,,1/1/2015,6/30/2015
DE,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.229,,1/1/2015,6/30/2015
FL,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.555,,1/1/2015,6/30/2015
GA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.56,,1/1/2015,6/30/2015
GU,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
HI,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.09,,1/1/2015,6/30/2015
IA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.417,,1/1/2015,6/30/2015
ID,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.193,,1/1/2015,6/30/2015
IL,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.433,,1/1/2015,6/30/2015
IN,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.513,,1/1/2015,6/30/2015
KS,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.356,,1/1/2015,6/30/2015
KY,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.569,,1/1/2015,6/30/2015
LA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.701,,1/1/2015,6/30/2015
MA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.357,,1/1/2015,6/30/2015
MD,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.497,,1/1/2015,6/30/2015
ME,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.36,,1/1/2015,6/30/2015
MI,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.453,,1/1/2015,6/30/2015
MN,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.384,,1/1/2015,6/30/2015
MO,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.476,,1/1/2015,6/30/2015
MP,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,13 - Results cannot be calculated for this reporting period.,1/1/2015,6/30/2015
MS,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.584,,1/1/2015,6/30/2015
MT,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.22,,1/1/2015,6/30/2015
NC,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.511,,1/1/2015,6/30/2015
ND,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.379,,1/1/2015,6/30/2015
NE,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.528,,1/1/2015,6/30/2015
NH,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.54,,1/1/2015,6/30/2015
NJ,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.549,,1/1/2015,6/30/2015
NM,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.491,,1/1/2015,6/30/2015
NV,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.423,,1/1/2015,6/30/2015
NY,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.565,,1/1/2015,6/30/2015
OH,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.469,,1/1/2015,6/30/2015
OK,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.446,,1/1/2015,6/30/2015
OR,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.346,,1/1/2015,6/30/2015
PA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.504,,1/1/2015,6/30/2015
PR,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.217,,1/1/2015,6/30/2015
RI,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.411,,1/1/2015,6/30/2015
SC,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.538,,1/1/2015,6/30/2015
SD,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.198,,1/1/2015,6/30/2015
TN,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.404,,1/1/2015,6/30/2015
TX,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.511,,1/1/2015,6/30/2015
UT,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.24,,1/1/2015,6/30/2015
VA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.478,,1/1/2015,6/30/2015
VI,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.402,,1/1/2015,6/30/2015
VT,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.224,,1/1/2015,6/30/2015
WA,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.43,,1/1/2015,6/30/2015
WI,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.318,,1/1/2015,6/30/2015
WV,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.329,,1/1/2015,6/30/2015
WY,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,0.032,,1/1/2015,6/30/2015
AK,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.307,,7/1/2014,6/30/2015
AL,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.708,,7/1/2014,6/30/2015
AR,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.585,,7/1/2014,6/30/2015
AS,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,Not Available,13 - Results cannot be calculated for this reporting period.,7/1/2014,6/30/2015
AZ,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.487,,7/1/2014,6/30/2015
CA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.488,,7/1/2014,6/30/2015
CO,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.431,,7/1/2014,6/30/2015
CT,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.536,,7/1/2014,6/30/2015
DC,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.522,,7/1/2014,6/30/2015
DE,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.251,,7/1/2014,6/30/2015
FL,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.53,,7/1/2014,6/30/2015
GA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.589,,7/1/2014,6/30/2015
GU,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2015
HI,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.176,,7/1/2014,6/30/2015
IA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.55,,7/1/2014,6/30/2015
ID,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.35,,7/1/2014,6/30/2015
IL,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.467,,7/1/2014,6/30/2015
IN,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.559,,7/1/2014,6/30/2015
KS,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.476,,7/1/2014,6/30/2015
KY,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.553,,7/1/2014,6/30/2015
LA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.672,,7/1/2014,6/30/2015
MA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.421,,7/1/2014,6/30/2015
MD,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.499,,7/1/2014,6/30/2015
ME,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.702,,7/1/2014,6/30/2015
MI,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.423,,7/1/2014,6/30/2015
MN,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.411,,7/1/2014,6/30/2015
MO,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.406,,7/1/2014,6/30/2015
MP,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,Not Available,13 - Results cannot be calculated for this reporting period.,7/1/2014,6/30/2015
MS,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.629,,7/1/2014,6/30/2015
MT,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.673,,7/1/2014,6/30/2015
NC,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.431,,7/1/2014,6/30/2015
ND,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.4,,7/1/2014,6/30/2015
NE,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.576,,7/1/2014,6/30/2015
NH,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.691,,7/1/2014,6/30/2015
NJ,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.551,,7/1/2014,6/30/2015
NM,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.66,,7/1/2014,6/30/2015
NV,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.47,,7/1/2014,6/30/2015
NY,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.426,,7/1/2014,6/30/2015
OH,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.412,,7/1/2014,6/30/2015
OK,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.455,,7/1/2014,6/30/2015
OR,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.362,,7/1/2014,6/30/2015
PA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.487,,7/1/2014,6/30/2015
PR,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.356,,7/1/2014,6/30/2015
RI,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.528,,7/1/2014,6/30/2015
SC,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.617,,7/1/2014,6/30/2015
SD,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.351,,7/1/2014,6/30/2015
TN,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.446,,7/1/2014,6/30/2015
TX,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.477,,7/1/2014,6/30/2015
UT,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.32,,7/1/2014,6/30/2015
VA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.408,,7/1/2014,6/30/2015
VI,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,2.664,,7/1/2014,6/30/2015
VT,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.251,,7/1/2014,6/30/2015
WA,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.403,,7/1/2014,6/30/2015
WI,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.376,,7/1/2014,6/30/2015
WV,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.413,,7/1/2014,6/30/2015
WY,Central line-associated bloodstream infections (CLABSI) in ICUs only,HAI_1a_SIR,0.498,,7/1/2014,6/30/2015
AK,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.639,,7/1/2014,6/30/2015
AL,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.792,,7/1/2014,6/30/2015
AR,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.686,,7/1/2014,6/30/2015
AS,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,Not Available,13 - Results cannot be calculated for this reporting period.,7/1/2014,6/30/2015
AZ,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.561,,7/1/2014,6/30/2015
CA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.519,,7/1/2014,6/30/2015
CO,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.52,,7/1/2014,6/30/2015
CT,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.645,,7/1/2014,6/30/2015
DC,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.649,,7/1/2014,6/30/2015
DE,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.418,,7/1/2014,6/30/2015
FL,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.566,,7/1/2014,6/30/2015
GA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.65,,7/1/2014,6/30/2015
GU,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,1.198,,7/1/2014,6/30/2015
HI,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.313,,7/1/2014,6/30/2015
IA,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.68,,7/1/2014,6/30/2015
ID,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,0.526,,7/1/2014,6/30/2015
